Campaign_ID,Campaign_Name,Marketing_Channel,Start_Date,End_Date,Impressions,Clicks,Conversions,Total_Spend,Revenue_Generated,Location,Age_Group,Gender
CMP33,Design Your Dream Space,Paid Ads,2023-06-02,2024-11-13,9647.5,4758.3,1948.2,4792.657,6295.219,Timișoara,18-24,Female
CMP34,Furniture Refresh Revolution,Paid Ads,2022-08-23,2024-01-27,47496.3,18570.8,839.8,2169.183,4703.509,Bucharest,45-54,Male
CMP35,Sustainable Living Showcase,Influencer Marketing,2023-01-14,2024-06-24,4207.5,3624.4,3068.5,3350.394,11945.509,Timișoara,55+,Female
CMP36,Sustainable Living Showcase,Influencer Marketing,2022-12-02,2024-05-11,11993.5,4979.3,1694.9,1105.323,2667.895,Timișoara,45-54,Male
CMP37,Comfort & Chic Challenge,Influencer Marketing,2023-06-01,2024-10-26,47567.7,8408.2,8314.7,3132.998,10590.456,Brașov,18-24,Male
CMP38,Style Your Home Story,Social Media,2022-08-31,2024-01-31,62983.3,48745.8,11422.3,4730.743,14965.355,Iași,25-34,Female
CMP39,Timeless Trends Transformation,Paid Ads,2023-06-06,2024-10-21,6405.6,4248.3,3114.4,5805.619,20789.368,Iași,35-44,Female
CMP40,Style Your Home Story,Paid Ads,2023-04-09,2024-09-15,64970.6,14006.3,11558.3,4989.177,16958.078,Brașov,35-44,Male
CMP41,Design Your Dream Space,Influencer Marketing,2022-12-14,2024-05-18,23242.4,8909.7,870.4,7648.793,22252.949,Iași,45-54,Female
CMP42,Comfort & Chic Challenge,Email,2022-09-03,2024-02-15,63212.8,48781.5,1055.7,6568.902,22684.409,Timișoara,55+,Female
CMP43,Sustainable Living Showcase,Social Media,2023-05-11,2024-09-28,33830,3114.4,639.2,7083.628,22125.517,Bucharest,35-44,Male
CMP44,Comfort & Chic Challenge,Influencer Marketing,2022-11-16,2024-04-21,84592,47079.8,41920.3,7344.952,15189.636,Bucharest,25-34,Male
CMP45,Style Your Home Story,Influencer Marketing,2022-10-09,2024-03-16,58447.7,31368.4,14706.7,664.02,1873.536,Timișoara,45-54,Male
CMP46,Comfort & Chic Challenge,Paid Ads,2023-04-19,2024-09-04,41051.6,10992.2,3177.3,588.795,944.027,Iași,55+,Male
CMP47,Timeless Trends Transformation,Paid Ads,2023-01-24,2024-06-11,64039,35453.5,11604.2,4440.196,12646.538,Iași,45-54,Male
CMP48,Sustainable Living Showcase,Paid Ads,2022-12-31,2024-06-01,22819.1,18212.1,13200.5,5485.968,7964.653,Iași,18-24,Female
CMP49,Style Your Home Story,Social Media,2022-08-26,2024-01-09,75352.5,9868.5,3991.6,6405.26,15797.692,Cluj-Napoca,18-24,Male
CMP50,Timeless Trends Transformation,Email,2023-01-07,2024-06-04,9237.8,3957.6,2147.1,535.228,1834.198,Bucharest,25-34,Male
CMP51,Furniture Refresh Revolution,Influencer Marketing,2022-10-15,2024-03-08,38511.8,19473.5,1365.1,3911.513,9658.703,Brașov,45-54,Female
CMP52,Sustainable Living Showcase,Email,2023-03-26,2024-09-02,48866.5,42501.7,28041.5,5254.173,17946.849,Cluj-Napoca,55+,Male
CMP53,Style Your Home Story,Influencer Marketing,2022-10-10,2024-03-14,12175.4,9004.9,23.8,7875.369,11234.365,Brașov,25-34,Male
CMP54,Design Your Dream Space,Influencer Marketing,2023-01-17,2024-06-25,8783.9,5321,691.9,5863.198,16155.661,Timișoara,45-54,Female
CMP55,Style Your Home Story,Paid Ads,2023-04-05,2024-09-05,21884.1,8137.9,2704.7,267.512,752.556,Bucharest,35-44,Male
CMP56,Sustainable Living Showcase,Social Media,2022-09-02,2024-01-26,27138.8,9980.7,4821.2,5908.367,22503.308,Bucharest,35-44,Male
CMP57,Timeless Trends Transformation,Influencer Marketing,2023-06-12,2024-11-16,41728.2,31164.4,253.3,6157.825,12249.911,Brașov,45-54,Female
CMP58,Furniture Refresh Revolution,Paid Ads,2023-01-25,2024-06-20,22015,2808.4,2262.7,5643.269,21342.259,Bucharest,55+,Male
CMP59,Furniture Refresh Revolution,Social Media,2023-01-04,2024-06-11,47654.4,7012.5,1562.3,1145.936,2260.881,Timișoara,55+,Male
CMP60,Sustainable Living Showcase,Social Media,2023-03-15,2024-08-25,47355.2,42267.1,25064.8,5708.651,18748.246,Iași,55+,Male
CMP61,Furniture Refresh Revolution,Influencer Marketing,2022-08-23,2024-02-01,24874.4,18626.9,14941.3,3578.993,4347.869,Iași,35-44,Female
CMP62,Style Your Home Story,Paid Ads,2023-05-06,2024-10-14,84374.4,9254.8,3587,4510.338,12805.998,Bucharest,18-24,Male
CMP63,Furniture Refresh Revolution,Social Media,2023-05-16,2024-10-24,13940,3704.3,1122,1937.286,2546.617,Iași,55+,Female
CMP64,Design Your Dream Space,Email,2023-06-11,2024-11-17,36210,32708,17476,5371.796,12112.772,Timișoara,35-44,Female
CMP65,Timeless Trends Transformation,Email,2022-12-06,2024-05-18,50882.7,25814.5,22458.7,6239.527,7829.503,Iași,18-24,Male
CMP66,Sustainable Living Showcase,Email,2023-04-18,2024-09-03,80369.2,24197.8,401.2,7460.195,13965.721,Bucharest,45-54,Female
CMP67,Sustainable Living Showcase,Social Media,2022-09-29,2024-02-18,19961.4,14766.2,2410.6,7745.761,24318.466,Bucharest,55+,Male
CMP68,Sustainable Living Showcase,Email,2022-11-15,2024-04-11,33945.6,13224.3,1292,3424.735,8823.918,Cluj-Napoca,35-44,Male
CMP69,Sustainable Living Showcase,Paid Ads,2023-01-18,2024-06-27,57755.8,29063.2,13552.4,3095.632,9989.88,Iași,35-44,Female
CMP70,Comfort & Chic Challenge,Social Media,2022-10-05,2024-03-13,18048.9,10092.9,1800.3,2581.399,6794.356,Iași,45-54,Male
CMP71,Furniture Refresh Revolution,Influencer Marketing,2022-10-23,2024-03-19,51102,47620.4,22628.7,8344.161,32403.683,Bucharest,18-24,Male
CMP72,Style Your Home Story,Email,2022-09-26,2024-02-25,8484.7,3111,1353.2,3298.901,12983.427,Bucharest,45-54,Female
CMP73,Design Your Dream Space,Email,2023-06-07,2024-11-04,60560.8,9948.4,1009.8,4006.288,10168.771,Iași,55+,Male
CMP74,Design Your Dream Space,Paid Ads,2022-11-25,2024-04-14,47152.9,13581.3,7214.8,2198.882,3345.787,Bucharest,18-24,Male
CMP75,Sustainable Living Showcase,Social Media,2022-11-12,2024-04-20,82960,69904,26499.6,3783.384,13592.639,Iași,35-44,Male
CMP76,Style Your Home Story,Paid Ads,2023-06-13,2024-10-26,44798.4,38717.5,7818.3,5368.124,15785.078,Iași,55+,Male
CMP77,Style Your Home Story,Paid Ads,2022-11-05,2024-04-18,24155.3,21182,4100.4,5165.739,20514.767,Iași,45-54,Male
CMP78,Comfort & Chic Challenge,Influencer Marketing,2023-02-03,2024-06-19,26997.7,10772.9,7393.3,7686.567,18148.078,Bucharest,25-34,Male
CMP79,Timeless Trends Transformation,Social Media,2023-03-04,2024-07-26,20100.8,3170.5,1181.5,6148.798,15832.474,Brașov,45-54,Female
CMP80,Timeless Trends Transformation,Influencer Marketing,2023-05-29,2024-10-27,46134.6,38365.6,9559.1,6519.585,14683.41,Timișoara,55+,Female
CMP81,Timeless Trends Transformation,Social Media,2023-02-15,2024-07-03,66198,3989.9,571.2,6435.741,8297.071,Brașov,55+,Male
CMP82,Comfort & Chic Challenge,Email,2023-04-04,2024-09-11,83053.5,40553.5,2425.9,5101.36,12977.46,Bucharest,18-24,Male
CMP83,Timeless Trends Transformation,Email,2022-12-06,2024-05-05,55403,33775.6,19584,5133.218,20314.847,Timișoara,35-44,Female
CMP84,Timeless Trends Transformation,Paid Ads,2023-05-20,2024-10-28,13543.9,6443,2616.3,1606.041,4190.687,Brașov,55+,Male
CMP85,Sustainable Living Showcase,Email,2023-05-14,2024-10-21,49866.1,20904.9,7361,3054.543,5281.458,Timișoara,25-34,Male
CMP86,Design Your Dream Space,Social Media,2022-10-25,2024-03-09,57879.9,15701.2,8685.3,8001.917,20741.496,Iași,45-54,Female
CMP87,Comfort & Chic Challenge,Paid Ads,2023-04-14,2024-08-27,48601.3,328.1,125.8,2240.702,7976.009,Bucharest,55+,Male
CMP88,Timeless Trends Transformation,Social Media,2023-01-27,2024-06-29,22686.5,3517.3,1084.6,961.367,1522.01,Cluj-Napoca,25-34,Male
CMP89,Timeless Trends Transformation,Email,2023-06-08,2024-11-18,59222.9,52761.2,22676.3,3605.156,12952.691,Bucharest,55+,Male
CMP90,Design Your Dream Space,Influencer Marketing,2023-04-12,2024-09-20,33219.7,11136.7,7189.3,6948.223,12283.775,Timișoara,55+,Male
CMP91,Sustainable Living Showcase,Social Media,2022-08-20,2024-01-18,82579.2,31812.1,3024.3,7619.281,13029.123,Iași,35-44,Female
CMP92,Comfort & Chic Challenge,Paid Ads,2023-03-24,2024-08-08,4017.1,2595.9,873.8,989.689,2504.814,Brașov,18-24,Female
CMP93,Furniture Refresh Revolution,Email,2023-02-19,2024-07-14,18293.7,16711,2801.6,2110.091,2846.837,Bucharest,35-44,Male
CMP94,Comfort & Chic Challenge,Paid Ads,2023-01-29,2024-07-11,79792.9,57079.2,15198,8458.639,30368.443,Bucharest,55+,Female
CMP95,Timeless Trends Transformation,Social Media,2023-03-06,2024-08-08,42049.5,8064.8,6868,6226.301,15666.843,Bucharest,25-34,Female
CMP96,Sustainable Living Showcase,Paid Ads,2023-04-11,2024-08-26,81312.7,63726.2,13171.6,1435.905,1772.913,Brașov,35-44,Male
CMP97,Furniture Refresh Revolution,Email,2022-09-23,2024-03-06,73526.7,51078.2,17969,8156.549,18283.313,Bucharest,45-54,Female
CMP98,Comfort & Chic Challenge,Paid Ads,2023-05-19,2024-10-22,55671.6,12916.6,12302.9,4780.434,15639.983,Cluj-Napoca,55+,Female
CMP99,Sustainable Living Showcase,Paid Ads,2022-09-25,2024-03-04,47258.3,2046.8,469.2,1467.117,2622.76,Iași,35-44,Female
CMP100,Style Your Home Story,Paid Ads,2023-03-10,2024-07-26,7379.7,2261,2155.6,3728.848,7893.083,Cluj-Napoca,45-54,Male
CMP101,Style Your Home Story,Email,2023-01-20,2024-06-06,5317.6,2318.8,20.4,2710.956,8486.077,Cluj-Napoca,18-24,Female
CMP102,Furniture Refresh Revolution,Paid Ads,2023-03-22,2024-08-28,21120.8,15266,5161.2,7623.225,29865.362,Brașov,55+,Male
CMP103,Comfort & Chic Challenge,Social Media,2023-03-07,2024-08-10,67199.3,35235.9,19881.5,6179.857,13561.801,Timișoara,18-24,Male
CMP104,Comfort & Chic Challenge,Social Media,2023-02-06,2024-06-23,51387.6,22100,13921.3,345.168,672.452,Iași,45-54,Male
CMP105,Comfort & Chic Challenge,Social Media,2022-11-20,2024-04-24,41753.7,35764.6,14327.6,3713.157,13147.035,Timișoara,35-44,Male
CMP106,Sustainable Living Showcase,Social Media,2022-08-26,2024-01-09,32745.4,23643.6,18708.5,2008.856,5411.134,Iași,25-34,Male
CMP107,Sustainable Living Showcase,Paid Ads,2022-12-08,2024-05-19,7848.9,433.5,175.1,7805.176,9812.094,Iași,25-34,Female
CMP108,Style Your Home Story,Social Media,2022-09-09,2024-02-21,72047.7,35567.4,32947.7,2510.951,7722.437,Timișoara,25-34,Male
CMP109,Comfort & Chic Challenge,Paid Ads,2022-09-21,2024-02-22,19179.4,17324.7,13673.1,7198.259,16090.874,Timișoara,25-34,Male
CMP110,Design Your Dream Space,Social Media,2023-06-09,2024-11-09,39475.7,36385.1,34283.9,7700.609,18995.885,Cluj-Napoca,55+,Female
CMP111,Style Your Home Story,Paid Ads,2023-05-12,2024-10-09,57031.6,1728.9,1222.3,4917.403,8344.399,Iași,25-34,Male
CMP112,Sustainable Living Showcase,Paid Ads,2023-05-13,2024-10-22,45667.1,16206.1,6103,6929.591,14273.557,Brașov,35-44,Male
CMP113,Comfort & Chic Challenge,Email,2023-01-11,2024-06-16,60637.3,23585.8,8035.9,2645.557,6919.884,Bucharest,25-34,Male
CMP114,Furniture Refresh Revolution,Influencer Marketing,2022-09-01,2024-01-18,82786.6,40601.1,657.9,3312.807,6460.816,Bucharest,55+,Female
CMP115,Furniture Refresh Revolution,Paid Ads,2022-09-02,2024-02-07,53786.3,33955.8,8241.6,6002.428,11197.203,Timișoara,55+,Male
CMP116,Style Your Home Story,Email,2023-01-03,2024-05-28,27150.7,13081.5,12302.9,6219.178,19314.975,Cluj-Napoca,25-34,Male
CMP117,Comfort & Chic Challenge,Email,2022-09-22,2024-02-24,43644.1,2934.2,2922.3,6090.063,21716.718,Brașov,25-34,Female
CMP118,Comfort & Chic Challenge,Email,2023-02-16,2024-07-23,48181.4,21496.5,9015.1,2003.62,5912.515,Cluj-Napoca,55+,Male
CMP119,Design Your Dream Space,Social Media,2023-01-17,2024-06-09,77603.3,75865.9,53735.3,8053.461,12889.553,Brașov,45-54,Female
CMP120,Comfort & Chic Challenge,Email,2022-12-11,2024-05-05,2645.2,2148.8,1030.2,3922.359,12013.883,Brașov,25-34,Male
CMP121,Furniture Refresh Revolution,Email,2023-05-10,2024-10-02,75648.3,43152.8,33433.9,5177.248,15767.806,Bucharest,45-54,Male
CMP122,Style Your Home Story,Social Media,2023-04-08,2024-09-08,48829.1,2590.8,2235.5,2907.289,9074.311,Cluj-Napoca,25-34,Male
CMP123,Design Your Dream Space,Email,2022-09-16,2024-02-03,11391.7,1504.5,163.2,1771.859,3148.349,Timișoara,55+,Female
CMP124,Style Your Home Story,Email,2023-06-12,2024-11-10,2354.5,217.6,158.1,3663.381,5623.481,Iași,35-44,Male
CMP125,Sustainable Living Showcase,Influencer Marketing,2023-02-07,2024-07-06,82519.7,28325.4,15371.4,2145.315,4104.956,Bucharest,45-54,Male
CMP126,Sustainable Living Showcase,Influencer Marketing,2023-05-02,2024-09-19,11636.5,7457.9,6458.3,7618.975,21142.645,Brașov,35-44,Male
CMP127,Sustainable Living Showcase,Email,2023-01-15,2024-05-30,11330.5,5902.4,2765.9,4579.426,13622.083,Timișoara,55+,Male
CMP128,Style Your Home Story,Influencer Marketing,2023-03-31,2024-08-22,74845.9,59406.5,24534.4,3234.709,10575.717,Cluj-Napoca,45-54,Male
CMP129,Sustainable Living Showcase,Paid Ads,2023-06-02,2024-10-21,72574.7,68936.7,67102.4,863.362,2844.695,Iași,25-34,Male
CMP130,Style Your Home Story,Email,2023-05-09,2024-10-06,44536.6,24767.3,3966.1,6351.438,22703.925,Iași,25-34,Female
CMP131,Furniture Refresh Revolution,Social Media,2022-11-21,2024-04-05,35586.1,18662.6,13139.3,811.733,1766.181,Brașov,18-24,Female
CMP132,Furniture Refresh Revolution,Paid Ads,2023-05-12,2024-09-25,38148,8928.4,4692,2181.933,5386.756,Bucharest,45-54,Female
CMP133,Design Your Dream Space,Paid Ads,2022-09-02,2024-02-03,82118.5,70845.8,68001.7,4222.358,16003.205,Cluj-Napoca,35-44,Female
CMP134,Timeless Trends Transformation,Email,2023-06-13,2024-11-15,20099.1,9526.8,8749.9,1021.904,3144.354,Timișoara,45-54,Female
CMP135,Style Your Home Story,Influencer Marketing,2022-09-04,2024-02-15,47353.5,16507,7299.8,1178.015,2921.178,Cluj-Napoca,25-34,Male
CMP136,Furniture Refresh Revolution,Influencer Marketing,2023-01-11,2024-06-04,48560.5,25933.5,5035.4,5293.528,14829.491,Bucharest,25-34,Male
CMP137,Comfort & Chic Challenge,Influencer Marketing,2023-02-10,2024-07-17,48271.5,23888.4,9999.4,2912.1,7635.584,Brașov,55+,Female
CMP138,Sustainable Living Showcase,Paid Ads,2023-03-12,2024-08-04,47713.9,16867.4,15993.6,4376.055,13559.2,Iași,35-44,Female
CMP139,Timeless Trends Transformation,Social Media,2023-06-09,2024-11-17,76540.8,27398.9,9695.1,6420.475,7832.291,Cluj-Napoca,25-34,Male
CMP140,Furniture Refresh Revolution,Email,2022-10-19,2024-03-05,23983.6,3343.9,214.2,8368.573,31205.71,Cluj-Napoca,35-44,Female
CMP141,Design Your Dream Space,Email,2023-03-11,2024-08-22,15859.3,3196,2582.3,6938.244,18766.606,Timișoara,45-54,Female
CMP142,Timeless Trends Transformation,Paid Ads,2023-01-22,2024-06-16,73627,55299.3,21726,8442.71,19987.733,Iași,25-34,Female
CMP143,Furniture Refresh Revolution,Email,2022-10-06,2024-03-10,10262.9,7430.7,6135.3,4423.927,10449.611,Timișoara,45-54,Male
CMP144,Furniture Refresh Revolution,Email,2023-03-15,2024-08-02,19230.4,18924.4,15276.2,7113.922,19140.487,Bucharest,35-44,Male
CMP145,Sustainable Living Showcase,Paid Ads,2022-09-27,2024-03-02,32201.4,19963.1,3182.4,5032.782,18826.803,Iași,18-24,Male
CMP146,Design Your Dream Space,Social Media,2022-09-14,2024-02-11,32789.6,14421.1,9999.4,5506.249,14208.175,Timișoara,25-34,Female
CMP147,Sustainable Living Showcase,Email,2022-10-31,2024-03-18,68083.3,12217.9,7196.1,6409.493,15401.422,Bucharest,18-24,Male
CMP148,Design Your Dream Space,Influencer Marketing,2023-02-28,2024-08-10,83927.3,33044.6,27655.6,1694.288,6257.02,Bucharest,25-34,Female
CMP149,Furniture Refresh Revolution,Influencer Marketing,2022-08-29,2024-01-31,16134.7,10890.2,5038.8,326.264,1028.636,Cluj-Napoca,18-24,Male
CMP150,Sustainable Living Showcase,Email,2022-09-09,2024-02-13,12386.2,10053.8,5336.3,8358.05,23897.41,Brașov,55+,Male
CMP151,Sustainable Living Showcase,Email,2023-02-15,2024-07-26,10315.6,5871.8,1217.2,3074.382,8296.867,Timișoara,18-24,Male
CMP152,Furniture Refresh Revolution,Email,2023-04-30,2024-10-06,53459.9,4666.5,2147.1,7002.181,14714.418,Brașov,45-54,Male
CMP153,Furniture Refresh Revolution,Social Media,2022-11-24,2024-04-22,9287.1,826.2,193.8,1862.078,4172.106,Cluj-Napoca,55+,Male
CMP154,Comfort & Chic Challenge,Influencer Marketing,2023-06-12,2024-11-09,50653.2,38739.6,30183.5,7852.436,26497.849,Iași,18-24,Female
CMP155,Timeless Trends Transformation,Email,2023-05-11,2024-09-27,38471,362.1,263.5,4389.281,7060.253,Cluj-Napoca,45-54,Male
CMP156,Style Your Home Story,Paid Ads,2023-02-15,2024-07-27,84110.9,52938,22905.8,2060.213,5422.167,Bucharest,45-54,Female
CMP157,Design Your Dream Space,Paid Ads,2023-05-02,2024-10-11,51435.2,49412.2,23813.6,792.03,3096.21,Cluj-Napoca,55+,Male
CMP158,Sustainable Living Showcase,Social Media,2023-05-03,2024-09-30,79724.9,76729.5,31953.2,3892.592,5709.909,Brașov,25-34,Female
CMP159,Style Your Home Story,Social Media,2023-05-07,2024-10-04,21972.5,17334.9,615.4,1674.398,4434.977,Cluj-Napoca,35-44,Male
CMP160,Design Your Dream Space,Email,2022-09-27,2024-03-05,1798.6,1273.3,1132.2,5213.509,9824.385,Brașov,45-54,Male
CMP161,Sustainable Living Showcase,Email,2023-05-21,2024-10-25,80206,13362,10200,2228.377,7511.416,Cluj-Napoca,18-24,Male
CMP162,Sustainable Living Showcase,Influencer Marketing,2023-01-06,2024-05-28,15177.6,14106.6,6973.4,6070.751,15166.312,Brașov,25-34,Male
CMP163,Furniture Refresh Revolution,Influencer Marketing,2022-11-01,2024-03-29,27798.4,20602.3,8744.8,4670.937,11255.224,Timișoara,25-34,Male
CMP164,Style Your Home Story,Email,2022-12-17,2024-05-19,41168.9,28920.4,27806.9,7740.848,25652.218,Cluj-Napoca,35-44,Male
CMP165,Timeless Trends Transformation,Paid Ads,2022-10-19,2024-03-30,50471.3,28022.8,9174.9,8070.087,12211.712,Bucharest,35-44,Female
CMP166,Sustainable Living Showcase,Social Media,2022-09-04,2024-02-11,33498.5,15743.7,4411.5,8289.914,19521.321,Bucharest,18-24,Male
CMP167,Design Your Dream Space,Social Media,2022-11-19,2024-05-01,65793.4,51001.7,43953.5,7525.475,15532.033,Bucharest,45-54,Male
CMP168,Comfort & Chic Challenge,Paid Ads,2022-10-25,2024-03-14,9072.9,3678.8,2941,378.947,499.307,Bucharest,25-34,Male
CMP169,Sustainable Living Showcase,Paid Ads,2023-04-07,2024-08-23,57203.3,44002.8,20554.7,2980.882,7827.038,Bucharest,18-24,Male
CMP170,Timeless Trends Transformation,Paid Ads,2023-02-25,2024-07-30,31070.9,26203.8,5387.3,5233.994,10706.413,Brașov,25-34,Male
CMP171,Timeless Trends Transformation,Paid Ads,2023-05-08,2024-09-23,35329.4,2706.4,1025.1,6721.358,9490.114,Timișoara,35-44,Female
CMP172,Comfort & Chic Challenge,Email,2022-08-23,2024-01-31,76338.5,39292.1,32587.3,2209.473,7174.255,Bucharest,25-34,Female
CMP173,Design Your Dream Space,Paid Ads,2023-01-20,2024-06-18,75427.3,11318.6,11099.3,2868.546,3636.283,Cluj-Napoca,18-24,Male
CMP174,Comfort & Chic Challenge,Influencer Marketing,2023-01-22,2024-06-14,6822.1,3444.2,1050.6,6511.068,18849.09,Brașov,45-54,Female
CMP175,Design Your Dream Space,Email,2022-08-23,2024-01-06,52122,8683.6,3559.8,4077.892,14334.604,Cluj-Napoca,25-34,Female
CMP176,Sustainable Living Showcase,Email,2022-11-07,2024-03-25,69635.4,24553.1,23834,2550.374,7347.927,Cluj-Napoca,18-24,Male
CMP177,Comfort & Chic Challenge,Influencer Marketing,2023-01-05,2024-05-31,13129.1,3179,996.2,8353.307,32813.332,Bucharest,45-54,Male
CMP178,Sustainable Living Showcase,Social Media,2022-09-10,2024-02-05,71554.7,14579.2,14091.3,3228.232,5931.47,Brașov,35-44,Male
CMP179,Style Your Home Story,Paid Ads,2022-12-30,2024-05-31,13486.1,3010.7,678.3,4344.231,6766.901,Cluj-Napoca,55+,Male
CMP180,Furniture Refresh Revolution,Social Media,2023-03-12,2024-08-16,19572.1,12155,3840.3,5193.024,13174.83,Iași,45-54,Male
CMP181,Timeless Trends Transformation,Email,2023-04-22,2024-09-14,10047,5842.9,375.7,4886.531,13153.937,Iași,35-44,Female
CMP182,Sustainable Living Showcase,Social Media,2023-06-11,2024-11-21,29693.9,4812.7,1383.8,3805.229,5085.737,Iași,18-24,Female
CMP183,Timeless Trends Transformation,Paid Ads,2023-04-19,2024-09-23,27502.6,13254.9,11944.2,7920.929,14722.289,Cluj-Napoca,35-44,Male
CMP184,Style Your Home Story,Email,2023-01-08,2024-06-11,18269.9,3362.6,3292.9,1159.927,3616.444,Iași,55+,Male
CMP185,Timeless Trends Transformation,Social Media,2022-09-15,2024-02-17,67119.4,8447.3,4654.6,4621.688,5869.199,Iași,25-34,Male
CMP186,Sustainable Living Showcase,Social Media,2023-03-01,2024-08-04,71678.8,19631.6,8780.5,3343.22,8811.899,Iași,55+,Male
CMP187,Comfort & Chic Challenge,Email,2022-09-29,2024-03-05,65912.4,3230,1912.5,2607.12,4659.564,Bucharest,55+,Male
CMP188,Style Your Home Story,Email,2023-05-18,2024-10-23,67631.1,58304.9,34867,2970.852,7092.451,Bucharest,55+,Male
